HR,mean_nni,sdnn,sdsd,nni_50,pnni_50,pnni_20,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,total_power,vlf,sd1,ratio_sd2_sd1,Permutation entropy,Spectral entropy,SVD entropy,Approximate entropy,Sample entropy,Hjorth mobility,Hjorth complexity,Number of zero-crossings,Petrosian fractal dimension,Katz fractal dimension,Higuchi fractal dimension,Detrended fluctuation analysis,Seat angle,Temperature,Humidity,mean,min_val,std_dev,range_val,q1,q2,q3,skewness,kurtosis,hrg_value,breath_rate,express_label,Discomfortrating
-0.764545605,1.100005048,0.771414475,1.368637108,0.987906715,0.954093817,0.66013641,0.929411377,0.653917644,0.970343683,0.39207597,-1.011585184,0.96019958,-0.434898259,0.452392886,-0.053485369,1.219049198,-0.618518139,0.350991896,-0.524945975,1.263797159,-0.562963155,-0.709069633,-0.685172819,-0.675068375,0.269903793,0.522215414,-0.584460409,-0.411959709,0.515355768,-0.826826264,-0.763111297,-0.823364285,-0.483132841,1.093073895,0.493356013,0.843549101,0.224588477,-0.624705924,0.280530009,0.506255699,-0.653941426,0.42482615,0.652832882,-0.251250893,-0.076986345,-0.229825148,0.067464607,-1.076956854,1
-0.894877532,0.779097624,0.798171767,0.372934985,0.881089555,0.912371273,0.820774979,0.701690588,0.476554113,0.109182417,0.537711699,-0.682023979,0.775581618,-0.307378594,0.693592754,0.075051058,-0.339129508,0.059576147,0.426643586,1.771440897,0.310535258,0.544312184,-0.579700876,-1.990199108,-0.818629071,0.591403132,0.476119591,-0.753945384,-0.258265343,0.265615547,-0.75148685,0.867032373,-1.302393716,-0.448582658,1.093073895,0.493356013,0.843549101,-0.094495667,0.050080636,0.051224141,-0.172969109,-0.415211092,-1.001212201,0.494979307,0.013749124,-0.374191506,-0.053459407,0.067464607,-1.076956854,1
0.362733883,-0.197136783,0.895022687,0.989435796,0.881089555,0.335426708,0.716514369,-0.125736886,0.375203524,1.137180194,1.043321365,0.431679254,1.152509958,-0.09345008,1.48476725,-0.456634509,0.994240744,-0.726272244,0.048282925,-0.309354616,0.898291497,-0.060541143,-0.22067317,-1.244796961,-0.097351406,0.637318556,0.599645632,-0.106377789,-0.22258574,0.556979138,-0.600877088,1.229858504,-0.419809389,-0.542140835,1.093073895,0.493356013,0.843549101,-0.12548864,0.245693354,0.11429684,-0.218064589,-0.500579851,-0.602168931,0.409408851,0.270318418,-0.391095261,-0.069601314,0.591278208,-1.076956854,1
-1.278804429,1.731965095,-0.527136963,-0.466994713,0.453820914,0.178868788,0.228170076,1.798357006,-0.562289425,-0.982187719,-1.042009723,-1.833619666,-1.417456001,-0.065807632,-1.152831656,-0.753263874,-0.244203169,-0.618545124,-0.791634385,-0.618277088,-0.493722396,-0.048719206,-1.558106384,-1.114662923,-0.909958308,0.440806023,0.594413346,-0.762053101,-0.514212719,0.390485658,-1.203881696,0.185073885,-1.135039548,-0.473370442,1.093073895,0.493356013,0.571985035,-0.111655817,-0.029749456,0.219871987,0.102620125,-0.67333197,-0.759930224,0.665322979,0.318349137,-0.32866178,-0.520222805,-1.765882995,0.928542305,0
-0.73888552,1.264307037,1.011039452,1.120459519,1.308358196,1.705240577,0.830794015,1.643188143,0.729930586,0.666258115,0.56515168,-1.035312692,1.152509958,-0.459859554,1.171311978,0.659270443,0.565695983,-0.168074086,0.589266714,-0.33227557,1.026466539,-0.076858957,-0.889843703,-1.867503933,-1.23937806,0.684305495,0.650641034,-1.117263258,-0.303032296,0.432109028,-0.902189134,1.045178785,-1.383962544,-0.403288377,1.093073895,0.493356013,0.571985035,-0.028325944,0.275170567,0.157773272,-0.280303591,-0.619063629,-0.439767601,0.685253986,0.015956362,-0.406563727,-0.051960868,-1.765882995,0.928542305,0
-0.611249817,0.488357646,-0.54740026,-0.081600985,0.560638074,0.008023351,-0.218172846,0.650107425,-0.384925894,-0.250967741,-0.727149638,-0.706067572,-0.04680749,0.375155234,-0.619955026,-0.919078303,-0.24765446,-0.736796795,-0.630678605,0.29515183,-0.126202808,-0.587337619,0.067847636,0.441837721,-0.408990593,0.255506516,-0.327878466,-0.421989853,-0.13380491,0.515355768,-0.450363759,-0.004935592,-0.72630488,-0.46113834,1.093073895,0.493356013,0.571985035,-0.003611666,0.184467733,-0.398458208,-0.233423944,0.544872662,0.349038862,-0.648130374,-0.309389282,-0.041313989,0.446326349,-1.242069394,0.928542305,0
-0.822896649,0.634291755,1.315619758,1.275332611,0.881089555,0.823267865,0.465099146,0.588039881,0.932631764,1.069702376,1.117650887,-0.409166909,1.055363476,-0.676791232,1.19791102,1.840522874,0.367167471,0.499045591,1.328278578,-0.179578217,1.174881653,0.077119493,-0.299668136,-0.340715797,0.054613273,0.700669159,0.82827949,-0.171421204,0.603634861,0.661037563,-0.638520733,1.097196758,-0.362101906,-0.496976403,1.093073895,0.493356013,0.571985035,0.008137498,0.333400143,-0.272133169,-0.408039641,-0.019089978,-0.329953368,0.025271912,0.026219759,-0.396223436,-0.125472078,-0.194442193,0.928542305,0
-1.553382818,1.160758078,1.62473995,0.473183466,0.560638074,0.495678,0.982296176,1.891458323,0.425878819,0.077583595,1.201820429,-0.763769736,1.055363476,-0.175153404,1.722894278,2.046744704,-0.529893594,2.099995854,1.816674453,2.341326388,0.407982138,1.363095983,-1.152626785,-2.34354652,-1.219016697,0.516848731,0.426793592,-1.057754991,-0.485067095,0.390485658,-1.01527905,0.97314763,-1.424308876,-0.402760044,1.093073895,0.493356013,0.571985035,0.215451104,0.124740134,0.463187609,-0.089630387,-0.891538546,-0.730543316,1.199872584,0.12161757,-0.426963652,-0.488535419,0.067464607,0.928542305,0
-1.592016433,1.57852668,0.067641177,0.885087665,0.560638074,0.495678,0.402408598,1.48801928,0.375203524,0.329438621,-0.441039656,-1.595301023,0.344806368,-0.333250814,-0.423313629,-0.267373689,-0.313035905,-0.224586623,-0.431762433,-0.387115469,0.802865126,-0.868857498,-1.551578557,-1.660236364,-1.028566702,0.396463537,0.116720848,-0.841724535,-0.705032582,0.307238917,-1.166149438,0.883349352,-1.56746911,-0.443552111,1.093073895,0.388854961,0.571985035,0.081576058,0.06844349,0.509661101,0.016023358,-1.201661338,-0.787770452,1.000296768,0.338985302,-0.396929941,-0.199196732,0.329371408,-1.076956854,0
-1.45655709,1.616163522,0.932829742,0.600487169,0.240186594,-0.203600365,-0.564070699,1.643188143,0.704592938,0.049297055,0.364428789,-1.432391031,0.344806368,-0.653352637,0.453357754,0.941211053,0.43737797,0.022189622,0.862688721,0.15065334,0.530025241,0.413882682,-0.817156925,-1.169122025,-0.234050196,0.594162335,0.380502045,-0.177184451,-0.477058149,0.369673973,-0.864505093,1.088795216,-1.070062633,-0.529510745,1.093073895,0.388854961,0.571985035,0.002970511,0.3623458,-0.009906634,-0.375898769,-0.46406519,-1.394068753,0.527267538,0.29137586,-0.4339325,-0.455245025,-0.194442193,0.928542305,0
-0.792310651,0.970032001,-0.253981409,-0.278263002,0.240186594,-0.499691204,-1.180527765,0.774242515,-0.790328251,-0.596546969,-0.573703697,-1.144942378,-1.312021499,0.252512438,-0.880660479,-0.328942637,0.132396183,-0.483086664,-0.195317686,-0.122589286,-0.313931325,0.074197815,-0.709362781,-0.066196617,-0.925639475,0.347497789,0.114497663,-0.881086452,-0.082631068,0.452920713,-0.826826264,-0.789806664,-0.998525729,-0.376712519,1.093073895,0.388854961,0.571985035,0.198279692,-1.001047783,0.620248523,0.819157306,-0.700025446,-0.673316181,0.8399186,-0.311334794,0.154234335,-0.364356403,0.329371408,0.928542305,0
-1.547481957,1.854587946,0.868517391,-0.558562276,0.240186594,-0.203600365,-0.370774841,2.325931136,0.805943528,-1.097011528,0.223419305,-1.653110768,0.344806368,-0.746150339,0.276338321,-0.253265788,-0.369704497,-0.172340454,-0.023791512,1.035005892,-0.581128538,2.11687538,-1.61124555,-2.216175485,-1.461715083,0.448705973,0.265837377,-1.315955808,-0.253339892,0.473732398,-1.203881696,1.438212573,-1.528152994,-0.386593259,1.093073895,0.388854961,0.571985035,0.27694299,0.255358014,0.412408143,-0.158850914,-1.077889229,-0.128885053,0.952063732,0.385964825,-0.407819008,-0.616536579,-1.503976195,0.928542305,0
-1.83217893,2.419155084,-0.195943868,0.079471428,0.614046654,0.797327491,1.164221691,2.481099999,0.476554113,-0.659379192,-0.907869459,-2.335427185,-0.732131746,-0.791608674,-1.168462568,0.155279318,-0.487578799,0.291361154,-0.247215329,-0.445808993,0.031440037,-0.31952428,-1.465701625,-2.293857016,-1.495478581,0.418465322,0.488147496,-1.362580196,-0.196035982,0.244803862,-1.166149438,0.811519362,-1.598778645,-0.373639472,1.093073895,0.388854961,0.571985035,-0.032071678,0.210369022,0.18961637,-0.197249302,-0.837018381,0.30727852,0.572577361,0.148485512,-0.427080647,0.037653872,-2.027789795,0.928542305,0
